date,nav,dd
2023-01-03,999137.6859459261,-0.08623140540738872
2023-01-17,1006828.019581647,0.0
2023-02-07,994057.6345924712,-1.2683779891705993
2023-02-21,1023865.313507201,0.0
2023-03-07,1027067.6177171499,0.0
2023-03-21,1069354.544760519,0.0
2023-04-04,1104037.7018232872,0.0
2023-04-19,1125771.519858299,0.0
2023-05-08,1181552.1678582418,0.0
2023-05-22,1102151.624662725,-6.720020101985291
2023-06-05,1067149.6377493292,-9.682393483843043
2023-06-19,1189511.173032724,0.0
2023-07-05,1174024.0840359312,-1.301970872396918
2023-07-19,1156407.2149265278,-2.782988412105103
2023-08-02,1157112.920692685,-2.7236610361076163
2023-08-16,1241259.1659900341,0.0
2023-08-30,1182543.520794801,-4.730329233734299
2023-09-13,1201952.289676449,-3.1666937405641415
2023-09-27,1227057.5879233629,-1.1441267428904722
2023-10-19,1282803.16774776,0.0
2023-11-02,1343880.459779844,0.0
2023-11-16,1341619.149400278,-0.16826722667999672
2023-11-30,1360933.6716397554,0.0
2023-12-14,1364087.6123460229,0.0
2023-12-28,1341964.2542799488,-1.6218428982010424
2024-01-12,1323667.4786918962,-2.963162577556888
2024-01-26,1315120.1343429,-3.5897604787207382
2024-02-19,1335024.156324162,-2.1306150542541924
2024-03-04,1445953.791900396,0.0
2024-03-18,1541248.687722069,0.0
2024-04-01,1501226.0551173233,-2.5967666946661416
2024-04-17,1537920.9605505387,-0.21591111142800212
2024-05-06,1573604.7749072176,0.0
2024-05-20,1566031.3207508847,-0.4812805780142204
2024-06-03,1465097.2184831914,-6.895477069864886
2024-06-18,1503934.9868398956,-4.427400652201873
2024-07-02,1425563.5517538367,-9.407776686627667
2024-07-16,1398708.8896546648,-11.114346374734719
2024-07-30,1316764.4755421255,-16.321779360401077
2024-08-13,1298311.7520716065,-17.49441964243168
2024-08-27,1265281.5816826047,-19.593432743796303
2024-09-10,1236821.2853418088,-21.402037851929244
2024-09-26,1327262.680389674,-15.654635677631855
2024-10-17,1472771.2656222712,-6.4078039729443255
2024-10-31,1543287.463808553,-1.926615347265459
2024-11-14,1656849.640244079,0.0
2024-11-28,1563262.401278474,-5.648505253127157
2024-12-12,1616175.59552322,-2.4549025894025633
2024-12-26,1575501.228991008,-4.909824601892499
2025-01-10,1462522.204901492,-11.728730877109628
2025-01-24,1544499.927187139,-6.780923888807999
2025-02-17,1676724.1246575639,0.0
