date,nav,cash,holdings,dd,index,industries,date_dt,month
2023-01-03,998922.4570435095,137060.46424950936,9,-0.10775429564905403,,6,2023-01-03,2023-01
2023-01-17,1006218.5075196817,111572.5580896819,9,0.0,,5,2023-01-17,2023-01
2023-02-07,985749.1427111444,4155.192384144335,10,-2.0342862564706854,,5,2023-02-07,2023-02
2023-02-21,1015235.5969979997,5648.728965999806,10,0.0,,5,2023-02-21,2023-02
2023-03-07,1012257.7811840025,3590.500851002449,10,-0.2933127859978901,,5,2023-03-07,2023-03
2023-03-21,1058828.7248982696,113519.50034526954,9,0.0,,7,2023-03-21,2023-03
2023-04-04,1080127.204484137,117643.57966613684,9,0.0,,5,2023-04-04,2023-04
2023-04-19,1069619.5131259956,8730.868763995677,10,-0.9728198044192227,,5,2023-04-19,2023-04
2023-05-08,1117775.760229889,4844.55262788909,10,0.0,,6,2023-05-08,2023-05
2023-05-22,1043763.2656767124,141235.50720771216,9,-6.621408084386693,,6,2023-05-22,2023-05
2023-06-05,1010035.8269703819,12558.129386381857,10,-9.638778822449023,,7,2023-06-05,2023-06
2023-06-19,1119077.3368694007,112590.36173940083,9,0.0,,6,2023-06-19,2023-06
2023-07-05,1102867.8786672726,112265.52661527281,9,-1.4484663095290395,,6,2023-07-05,2023-07
2023-07-19,1085684.3538815675,113984.47806156754,9,-2.983974555435953,,5,2023-07-19,2023-07
2023-08-02,1113537.1294764157,115124.42041141565,9,-0.49506921554534067,,4,2023-08-02,2023-08
2023-08-16,1193389.5524405104,12051.440015510525,10,0.0,,5,2023-08-16,2023-08
2023-08-30,1135338.7613916001,144688.5046336002,9,-4.864362263788468,,5,2023-08-30,2023-08
2023-09-13,1155561.6176113917,14242.658022391726,10,-3.1697893409373012,,6,2023-09-13,2023-09
2023-09-27,1179898.32432026,8546.908463259708,10,-1.1304965836729908,,5,2023-09-27,2023-09
2023-10-19,1220843.5285924517,7132.654920451547,10,0.0,,7,2023-10-19,2023-10
2023-11-02,1279050.6350803936,122165.00136339356,9,0.0,,6,2023-11-02,2023-11
2023-11-16,1275381.4764740455,9755.489819045368,10,-0.286865781988177,,6,2023-11-16,2023-11
2023-11-30,1292357.3333492244,135583.94896722448,9,0.0,,6,2023-11-30,2023-11
2023-12-14,1293699.324357126,10230.346060125972,10,0.0,,5,2023-12-14,2023-12
2023-12-28,1272085.7710016498,132431.68978464982,9,-1.6706782595110714,,5,2023-12-28,2023-12
2024-01-12,1252940.7221696766,9753.579640676544,10,-3.1505467630744466,,6,2024-01-12,2024-01
2024-01-26,1243085.1272993125,128257.76732931253,9,-3.9123617137981404,,4,2024-01-26,2024-01
2024-02-19,1261640.5464039675,149816.73362796736,9,-2.478070240091468,,5,2024-02-19,2024-02
2024-03-04,1377489.2480617901,5521.0775757900265,10,0.0,,6,2024-03-04,2024-03
2024-03-18,1471562.7356815406,163835.51680754084,9,0.0,,5,2024-03-18,2024-03
2024-04-01,1431423.521182965,16790.66528096504,10,-2.7276590746221574,,7,2024-04-01,2024-04
2024-04-17,1470091.1417099661,9463.329618965945,10,-0.10000212263413522,,5,2024-04-17,2024-04
2024-05-06,1521501.9904283837,171117.0920963836,9,0.0,,5,2024-05-06,2024-05
2024-05-20,1512925.7370079546,3280.9529179548263,10,-0.563670207096767,,6,2024-05-20,2024-05
2024-06-03,1414482.09046256,12688.172417559923,10,-7.033832399765172,,6,2024-06-03,2024-06
2024-06-18,1450316.361440505,32070.840741504915,10,-4.678641857565779,,6,2024-06-18,2024-06
2024-07-02,1365534.5272448414,150959.69439084126,9,-10.250887883467641,,4,2024-07-02,2024-07
2024-07-16,1339407.8930304733,9214.048595473112,10,-11.968048582482716,,4,2024-07-16,2024-07
2024-07-30,1274442.4783989608,5038.795118960479,10,-16.23786978812052,,4,2024-07-30,2024-07
2024-08-13,1255319.8147128194,135084.28924281945,9,-17.494697830833584,,4,2024-08-13,2024-08
2024-08-27,1222894.774109962,127410.61118796209,9,-19.625818316172428,,4,2024-08-27,2024-08
2024-09-10,1189121.7949186347,6808.739780634511,10,-21.845531428859076,,6,2024-09-10,2024-09
2024-09-26,1274568.5087203141,140020.789036314,9,-16.229586504750127,,5,2024-09-26,2024-09
2024-10-17,1413826.1418163578,11549.439302357874,10,-7.0769443148549165,,4,2024-10-17,2024-10
2024-10-31,1443732.4159889605,8631.346821960586,10,-5.111368564002139,,5,2024-10-31,2024-10
2024-11-14,1550592.6467900693,8957.484647069476,10,0.0,,6,2024-11-14,2024-11
2024-11-28,1464656.846061431,6320.755035431066,10,-5.5421261610221535,,6,2024-11-28,2024-11
2024-12-12,1512032.5365442892,20806.577453289356,10,-2.4867982139348155,,6,2024-12-12,2024-12
2024-12-26,1484236.7509010658,6680.809113065625,10,-4.279389304880876,,4,2024-12-26,2024-12
2025-01-10,1376182.2251246462,5434.019482646254,10,-11.24798457070434,,5,2025-01-10,2025-01
2025-01-24,1463797.2229810243,4001.4417030243785,10,-5.597564517587705,,5,2025-01-24,2025-01
2025-02-17,1586822.0308750567,19336.35170405649,10,0.0,,6,2025-02-17,2025-02
