date,nav,cash,holdings,dd
2023-01-03,1000000.0000000002,25362.02734100008,10,0.0
2023-01-17,1015051.9386410002,5110.9742460001435,10,0.0
2023-02-07,1029327.2856580002,12090.407196000146,10,0.0
2023-02-21,1042015.9254080001,5745.654279000228,10,0.0
2023-03-07,1030087.4616050003,5130.020907000275,10,-1.1447487041360893
2023-03-21,1032653.3701640004,25136.584377000385,10,-0.8985040454476567
2023-04-04,1045953.8583650006,5530.575915000547,10,0.0
2023-04-19,1089009.9285810005,7960.428403000653,10,0.0
2023-05-08,1184864.3934170008,27183.351845000754,10,0.0
2023-05-22,1125004.6642460006,4301.933514000717,10,-5.052032072494994
2023-06-05,1099555.7035210007,4665.31024800062,10,-7.199869484640386
2023-06-19,1091807.7080060006,7522.104140000563,10,-7.853783599879838
2023-07-05,1087318.7521420007,8824.437291000635,10,-8.23264179571559
2023-07-19,1068781.0963410009,26351.702941000738,10,-9.797179974429838
2023-08-02,1062254.2200670007,1293.6163980007404,10,-10.348034258705985
2023-08-16,1042873.1515210007,7410.079735000749,10,-11.98375465453183
2023-08-30,1016242.9473760007,4179.5348050006,10,-14.231286464328374
2023-09-13,1032091.4789750006,22924.901210000637,10,-12.893704569973806
2023-09-27,1029440.0449290007,6041.487975000593,10,-13.11747988643458
2023-10-19,1001575.9504760006,3675.001036000438,10,-15.469149377712267
2023-11-02,1045486.3432180005,17187.16536900046,10,-11.763206909868519
2023-11-16,1028365.7032580004,3845.1205530005245,10,-13.208152006971673
2023-11-30,1043273.5386210006,5880.372038000496,10,-11.949962846606422
2023-12-14,1037527.0631080004,8350.237249000551,10,-12.434952989354153
2023-12-28,1033028.1727650006,15035.922273000513,10,-12.814649633796781
2024-01-12,1011688.5697180004,3262.3140680004144,10,-14.615666118515303
2024-01-26,1036717.6714720004,26810.10927300049,10,-12.50326389822246
2024-02-19,1053816.5456120006,5024.248249000477,10,-11.06015578939582
2024-03-04,1107732.4530340005,4603.485248000492,10,-6.509769456449055
2024-03-18,1114310.8321720005,27057.52495700054,10,-5.9545684415017845
2024-04-01,1122470.9964660006,13642.905732000509,10,-5.2658681700329835
2024-04-17,1159343.1236460006,3294.979955000599,10,-2.1539401397150604
2024-05-06,1180089.5398280006,33817.57110300069,10,-0.40298734737315156
2024-05-20,1218500.6270510007,3268.3646930006216,10,0.0
