date,nav,cash,holdings,return
2023-06-01,1000000.0,6951.545524597168,5,
2023-06-15,1058006.3932418823,2047.188663482666,5,0.05800639324188239
2023-07-03,1085755.5602550507,6981.687307357788,5,0.026227787648939405
2023-07-17,1061610.7350826263,2554.9718379974365,5,-0.02223780937097164
2023-07-31,1156458.4779262543,19478.754377365112,5,0.08934324014371042
2023-08-14,1102555.802679062,6601.726484298706,5,-0.046610125893884136
2023-08-28,1085915.5381679535,15862.38169670105,5,-0.01509244654163966
2023-09-11,1098008.210515976,16960.47739982605,5,0.011135923488510002
2023-09-25,1063788.8944149017,13714.986515045166,5,-0.031164900019275743
2023-10-17,1038340.4090881348,1961.756706237793,5,-0.02392249576995631
2023-10-31,1021401.6959190369,2654.5243740081787,5,-0.01631325625087965
2023-11-14,1022792.4825191498,5231.187057495117,5,0.0013616450860320928
2023-11-28,1010465.024471283,1998.7940788269043,5,-0.012052746044343365
2023-12-12,972041.8835639954,6278.79581451416,5,-0.03802520619394245
2023-12-26,962391.729593277,2624.9269008636475,5,-0.009927714159122525
2024-01-10,971468.8506126404,4008.4720134735107,5,0.009431836060353138
2024-01-24,1008191.1134719849,62492.65079498291,5,0.03780076204830052
2024-02-07,1006206.8470001221,9204.18004989624,5,-0.001968145171434288
2024-02-29,1067666.0461425781,841.6414260864258,5,0.06108008440380708
2024-03-14,1086104.3619155884,14101.690864562988,5,0.017269740701811198
2024-03-28,1065289.9099349976,5595.168304443359,5,-0.019164320400923418
2024-04-15,1048385.8459472656,718.1902408599854,5,-0.015868041018771484
2024-04-29,1149971.6635227203,2674.182176589966,5,0.09689735698755753
2024-05-16,1138458.9554309845,2674.182176589966,5,-0.010011297197070834
2024-05-30,1116726.8667697906,3354.7558307647705,5,-0.019089040107701405
2024-06-14,1101220.7554340363,30592.94285774231,5,-0.013885321287744112
2024-06-28,1017372.7722644806,4651.867055892944,5,-0.0761409397305699
2024-07-12,1022933.2184314728,70445.71633338928,5,0.005465495360776895
2024-07-26,1030107.3813915253,3234.2448711395264,5,0.0070133248493513545
2024-08-09,1021233.5669994354,1616.6293621063232,5,-0.008614455689175404
2024-08-23,968022.8000164032,8087.325239181519,5,-0.05210440461663912
2024-09-06,936712.134218216,15779.648733139038,5,-0.032344967285539816
2024-09-24,937606.7390918732,9384.35378074646,5,0.0009550478113575789
2024-10-15,1186666.5078639984,13051.979970932007,5,0.26563350964537036
2024-10-29,1243458.9074611664,575.0329494476318,5,0.04785877011005768
2024-11-12,1321534.2383861542,97506.0161113739,5,0.06278883078203057
2024-11-26,1209413.487958908,18115.8793926239,5,-0.08484135118902936
2024-12-10,1241272.041273117,1362.475347518921,5,0.02634215149028618
2024-12-24,1222083.5752010345,387.23254203796387,5,-0.015458711252693491
2025-01-08,1159784.612607956,387.23254203796387,5,-0.05097766131324555
2025-01-22,1132808.7813854218,352.06589698791504,5,-0.02325934568305299
2025-02-13,1208016.874551773,2635.85524559021,5,0.06639081052529638
2025-02-27,1200587.799024582,981.8322658538818,5,-0.006149811052885923
2025-03-13,1194239.1345500946,466.022253036499,5,-0.005287963512244032
2025-03-27,1203119.9777126312,391.3461208343506,5,0.00743640273175461
2025-04-11,1103513.2664203644,4903.8572788238525,5,-0.0827903393987679
2025-04-25,1094386.0338687897,920.581865310669,5,-0.008271067353075034
2025-05-14,1127314.7245883942,99.60389137268066,5,0.030088734414124074
2025-05-28,1101601.5392780304,1111.4914417266846,5,-0.022809233969468656
2025-06-12,1117472.0299243927,11775.26421546936,5,0.01440674334638592
2025-06-26,1098011.3632678986,40086.35354042053,5,-0.01741490268692525
2025-07-10,1129827.863931656,19081.77056312561,5,0.028976476681502827
2025-07-24,1196722.1212863922,1931.4611911773682,5,0.05920747707704144
2025-08-07,1160616.4021015167,1931.4611911773682,5,-0.030170512053428356
2025-08-21,1210720.384645462,6307.501459121704,5,0.043170148597954094
2025-09-04,1199198.6664295197,34.00263786315918,5,-0.009516415484584706
2025-09-18,1209135.2797031403,509.24158096313477,5,0.008286044299236739
2025-10-10,1224249.6654510498,139853.6271095276,5,0.012500161066857807
2025-10-24,1231680.4168701172,3929.265594482422,5,0.0060696372878563665
2025-11-07,1212901.300239563,812.3693466186523,5,-0.015246744507211307
2025-11-21,1181017.5735473633,71498.36759567261,5,-0.026287156824633895
2025-12-05,1217100.4163742065,60872.5127696991,5,0.030552333542728682
2025-12-19,1206309.5132350922,104.51350212097168,5,-0.008866074642600918
2026-01-06,1219710.5193138123,104.51350212097168,5,0.011109094251259943
2026-01-20,1182659.5405578613,104.51350212097168,5,-0.030376862517177528
2026-02-03,1202135.5139255524,91.52021408081055,5,0.01646794593015688
2026-02-25,1204447.5425243378,255.5647373199463,5,0.001923267861237532
2026-03-11,1228458.602809906,129.6058177947998,5,0.019935330878125823
2026-03-25,1191523.6167430878,5678.630352020264,5,-0.0300661218720234
